"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","booking.com tests","Check the number of children","0","0","4","0","0"
"","booking.com tests","Check the hotels prices","1","0","0","0","0"
